obs,saison,mois,jour_mois,jour_semaine,horaire,jour_travail,vacances,meteo,velos,humidite,vent,temperature1,temperature2
1,1,1,1,7,1,1,1,1,105,78,1.38,2.88,2.29
2,1,1,1,7,2,1,1,1,61,78.25,6.84,5.39,5.25
3,1,1,1,7,3,1,1,1,340,75.5,30.98,11.98,11.5
4,1,1,1,7,4,1,1,2,305,82.25,30.58,12.21,12.5
5,1,1,1,7,5,1,1,2,174,88.8,26.39,11.55,11.8
6,1,1,2,1,1,1,1,2,54,91.17,27.36,12.84,13.16
7,1,1,2,1,2,1,1,2,82,76,23.34,10.09,9.75
8,1,1,2,1,3,1,1,2,297,69.75,23.74,8.92,6.5
9,1,1,2,1,4,1,1,3,268,63.75,22.93,8.21,6
10,1,1,2,1,5,1,1,1,100,43.2,34.44,4.6,0.2
11,1,1,3,2,1,2,1,1,41,46.4,39.59,0.27,-6.2
12,1,1,3,2,2,2,1,1,350,46.5,30.18,-0.71,-6.75
13,1,1,3,2,3,2,1,1,250,35,32.19,2.81,-2
14,1,1,3,2,4,2,1,1,462,30.5,22.53,3.75,0
15,1,1,3,2,5,2,1,1,246,56.4,10.3,0.46,-2.2
16,1,1,4,3,1,2,1,1,50,63.67,11.54,-1.42,-5
17,1,1,4,3,2,2,1,1,415,69,22.93,-1.18,-6.25
18,1,1,4,3,3,2,1,1,295,52.5,23.74,3.04,-0.75
19,1,1,4,3,4,2,1,1,542,49.25,24.94,5.16,2
20,1,1,4,3,5,2,1,1,260,58.6,8.37,2.53,0.8
21,1,1,5,4,1,2,1,1,52,59,14.22,1.24,-1.66
22,1,1,5,4,2,2,1,1,455,39.25,30.98,1.63,-3.5
23,1,1,5,4,3,2,1,1,258,31,30.98,4.93,0.5
24,1,1,5,4,4,2,1,1,510,33,16.49,4.69,1.75
25,1,1,5,4,5,2,1,1,325,47.6,12.87,1.78,-1
26,1,1,6,5,1,2,1,1,58,63.17,5.1,-0.64,-2.33
27,1,1,6,5,2,2,1,2,481,54,0,0.23,-0.25
28,1,1,6,5,3,2,1,1,280,37.5,9.66,3.99,2
29,1,1,6,5,4,2,1,1,483,44,12.47,3.52,0.25
30,1,1,6,5,5,2,1,2,304,54.2,20.6,1.96,-1.6
31,1,1,7,6,1,2,1,2,65,65.83,13.95,1.56,-1.33
32,1,1,7,6,2,2,1,1,491,51,27.36,1.64,-3
33,1,1,7,6,3,2,1,2,249,38.5,27.36,1.4,-3.25
34,1,1,7,6,4,2,1,2,469,37.75,11.27,1.4,-1
35,1,1,7,6,5,2,1,1,236,48.6,14.16,0.27,-2.8
36,1,1,8,7,1,1,1,2,72,59.86,14.03,0.19,-3
37,1,1,8,7,2,1,1,3,105,85,12.88,-0.24,-3.75
38,1,1,8,7,3,1,1,2,357,51,42.25,1.4,-4.25
39,1,1,8,7,4,1,1,1,274,34.25,47.07,-0.01,-7
40,1,1,8,7,5,1,1,1,151,37.2,36.69,-2.36,-9.2
41,1,1,9,1,1,1,1,1,55,47.29,37.02,-3.57,-10.86
42,1,1,9,1,2,1,1,1,84,47.75,37.42,-2.83,-10
43,1,1,9,1,3,1,1,1,279,35.75,50.7,0.93,-6
44,1,1,9,1,4,1,1,1,284,36.5,41.04,0.93,-5.25
45,1,1,9,1,5,1,1,1,120,46.2,32.19,-1.42,-7.8
46,1,1,10,2,1,2,1,1,47,51.14,25.98,-2.63,-8.14
47,1,1,10,2,2,2,1,2,390,50,28.57,-1.89,-8
48,1,1,10,2,3,2,1,2,183,41.75,28.97,0.93,-4.5
49,1,1,10,2,4,2,1,1,452,40,18.51,1.4,-2.25
50,1,1,10,2,5,2,1,1,249,54.8,18.35,-1.04,-5.8
51,1,1,11,3,1,2,1,2,51,56.6,15.77,-0.86,-5
52,1,1,11,3,2,2,1,2,500,52,11.27,0.46,-2
53,1,1,11,3,3,2,1,2,207,54,11.27,1.4,-1.25
54,1,1,11,3,4,2,1,2,354,86.25,17.3,-0.48,-4.75
55,1,1,11,3,5,2,1,3,151,91.6,10.3,-0.48,-3.4
56,1,1,12,4,1,2,1,1,35,87.4,13.52,-1.23,-5
57,1,1,12,4,2,2,1,1,302,60.5,22.93,-0.48,-5.5
58,1,1,12,4,3,2,1,1,183,47.25,44.66,1.64,-4.25
59,1,1,12,4,4,2,1,1,393,46.25,43.86,1.64,-4.5
60,1,1,12,4,5,2,1,1,249,53.2,41.85,-0.48,-7.4
61,1,1,13,5,1,2,1,1,49,51.86,29.89,-1.55,-7.72
62,1,1,13,5,2,2,1,1,451,51,27.36,-1.42,-7
63,1,1,13,5,3,2,1,1,214,42.5,45.87,1.87,-4
64,1,1,13,5,4,2,1,1,444,39,34.2,2.34,-3
65,1,1,13,5,5,2,1,1,248,47.2,28,-1.23,-7
66,1,1,14,6,1,2,1,1,46,53.33,12.34,-3.14,-6.83
67,1,1,14,6,2,2,1,1,389,66.5,13.28,-1.66,-5.75
68,1,1,14,6,3,2,1,1,255,43.25,32.59,1.63,-3.25
69,1,1,14,6,4,2,1,1,456,41.75,11.67,2.34,0
70,1,1,14,6,5,2,1,1,275,62.2,1.93,-0.1,-1
71,1,1,15,7,1,1,1,2,77,59,4.37,-0.48,-2
72,1,1,15,7,2,1,1,1,125,62.25,11.67,-0.71,-3.75
73,1,1,15,7,3,1,1,1,380,45,27.76,3.99,0
74,1,1,15,7,4,1,1,2,424,37.75,24.94,7.04,4.5
75,1,1,15,7,5,1,1,2,242,40.8,24.14,6.66,4
